Year,Cause,Deaths
2000,Stroke,44109
2000,Ischaemic heart disease,18837
2000,Stomach cancer,13205
2000,"Trachea, bronchus, lung cancers",12879
2000,Liver cancer,10893
2000,Self-harm,6860
2010,Stroke,31934
2010,Ischaemic heart disease,23696
2010,"Trachea, bronchus, lung cancers",17121
2010,Self-harm,16852
2010,Liver cancer,12204
2010,Stomach cancer,11507
2015,Stroke,28655
2015,Ischaemic heart disease,27336
2015,"Trachea, bronchus, lung cancers",18806
2015,Self-harm,14255
2015,Liver cancer,12217
2015,Stomach cancer,9534
2019,Ischaemic heart disease,28042
2019,Stroke,25596
2019,"Trachea, bronchus, lung cancers",20293
2019,Self-harm,14635
2019,Liver cancer,11589
2019,Stomach cancer,8624
